,Data Medicao,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)",RADIACAO GLOBAL(Mj/m²),ANO,MES,DIA
21,2007-12-07,0.0,32.5,22.4,76.25,1.833333,21.492027,2007,Dez,7
22,2007-12-08,0.0,28.4,21.7,89.125,1.975,17.734107,2007,Dez,8
23,2007-12-09,8.8,29.0,20.7,88.708333,1.204167,18.845281,2007,Dez,9
24,2007-12-10,1.2,33.1,21.1,78.208333,1.916667,14.635099999999998,2007,Dez,10
25,2007-12-11,0.0,34.6,21.8,61.666667,1.625,13.025169,2007,Dez,11
26,2007-12-12,0.0,35.8,21.8,56.291667,1.95,13.582614,2007,Dez,12
27,2007-12-13,0.0,34.8,18.0,55.041667,1.970833,12.402106999999999,2007,Dez,13
28,2007-12-14,0.0,35.1,20.4,57.75,1.35,8.852289,2007,Dez,14
29,2007-12-15,0.0,36.4,20.9,58.708333,1.066667,19.426655999999998,2007,Dez,15
30,2007-12-16,0.0,30.8,21.8,75.291667,1.754167,18.73005,2007,Dez,16
31,2007-12-17,0.6,33.5,21.9,85.136364,1.877273,19.02693,2007,Dez,17
32,2007-12-18,6.2,28.2,22.1,91.0,1.429167,17.554107,2007,Dez,18
33,2007-12-19,24.8,33.4,21.6,76.166667,1.858333,16.074218000000002,2007,Dez,19
34,2007-12-20,0.0,34.4,21.9,67.583333,1.741667,19.167586,2007,Dez,20
35,2007-12-21,1.2,31.3,22.2,73.791667,1.7,19.283433000000002,2007,Dez,21
36,2007-12-22,0.2,34.1,23.4,67.208333,1.695833,19.267348000000002,2007,Dez,22
37,2007-12-23,0.0,35.1,23.0,63.708333,1.808333,14.033125,2007,Dez,23
38,2007-12-24,0.0,36.0,22.6,53.875,2.308333,18.376168,2007,Dez,24
39,2007-12-25,0.0,34.2,22.9,45.875,2.570833,17.137418999999998,2007,Dez,25
40,2007-12-26,0.0,34.4,21.0,53.958333,2.0375,15.642035,2007,Dez,26
41,2007-12-27,0.8,34.9,20.6,57.375,1.783333,15.466582,2007,Dez,27
42,2007-12-28,0.2,34.5,21.0,52.833333,1.8,17.113414000000002,2007,Dez,28
43,2007-12-29,0.0,33.0,20.0,55.75,1.633333,18.359614,2007,Dez,29
44,2007-12-30,0.0,35.7,19.8,58.333333,1.65,18.775085999999998,2007,Dez,30
45,2007-12-31,0.0,36.3,20.7,58.25,1.666667,18.99042,2007,Dez,31
46,2008-01-01,1.0,34.9,23.0,67.166667,1.683333,16.13166,2008,Jan,1
47,2008-01-02,0.6,35.3,22.8,70.75,1.9875,19.025376,2008,Jan,2
48,2008-01-03,0.0,35.0,21.5,61.416667,2.1125,18.26335,2008,Jan,3
49,2008-01-04,0.0,36.3,20.3,51.083333,1.808333,19.079999,2008,Jan,4
50,2008-01-05,0.0,34.1,21.1,57.958333,1.570833,19.086693,2008,Jan,5
51,2008-01-06,0.0,37.4,20.7,57.75,1.491667,17.529007,2008,Jan,6
52,2008-01-07,52.4,31.5,20.1,83.0,1.841667,14.983683,2008,Jan,7
53,2008-01-08,3.4,29.5,21.2,89.875,1.670833,19.51408,2008,Jan,8
54,2008-01-09,3.8,31.1,21.6,84.958333,1.3125,19.293350999999998,2008,Jan,9
55,2008-01-10,2.2,29.3,22.4,79.375,1.970833,18.885767,2008,Jan,10
56,2008-01-11,0.0,33.5,19.8,70.125,1.516667,18.777965000000002,2008,Jan,11
57,2008-01-12,0.0,34.3,19.7,68.541667,1.491667,19.329794000000003,2008,Jan,12
58,2008-01-13,0.0,35.7,20.7,59.875,1.9625,18.802246999999998,2008,Jan,13
59,2008-01-14,0.0,34.8,19.2,55.708333,1.516667,16.837794000000002,2008,Jan,14
60,2008-01-15,0.0,33.9,22.1,59.125,2.129167,17.890949,2008,Jan,15
61,2008-01-16,0.4,31.7,23.4,71.833333,1.775,20.896371,2008,Jan,16
62,2008-01-17,8.8,30.0,21.7,83.291667,2.195833,27.012307,2008,Jan,17
63,2008-01-18,1.2,27.4,21.5,87.25,1.3875,21.236504,2008,Jan,18
64,2008-01-19,0.0,31.6,22.3,80.208333,1.170833,9.659773,2008,Jan,19
65,2008-01-20,1.0,30.5,20.9,79.875,2.204167,23.970649,2008,Jan,20
66,2008-01-21,0.0,32.4,21.0,74.75,1.4375,11.009615,2008,Jan,21
67,2008-01-22,0.4,31.3,21.0,77.208333,1.695833,12.914052,2008,Jan,22
68,2008-01-23,0.0,32.7,21.2,79.0,1.8125,10.535516,2008,Jan,23
69,2008-01-24,2.6,34.6,19.5,67.541667,1.5875,21.014671,2008,Jan,24
70,2008-01-25,0.0,34.7,18.7,69.916667,1.333333,20.502462,2008,Jan,25
71,2008-01-26,0.2,32.0,23.5,76.541667,1.6125,12.430019,2008,Jan,26
72,2008-01-27,0.0,32.6,21.2,80.5,1.325,9.43674,2008,Jan,27
73,2008-01-28,3.8,27.8,23.5,85.75,1.475,11.250159,2008,Jan,28
74,2008-01-29,0.0,33.5,21.9,74.833333,1.329167,16.25865,2008,Jan,29
75,2008-01-30,28.0,28.1,21.7,89.833333,1.554167,5.1511450000000005,2008,Jan,30
76,2008-01-31,3.6,30.9,21.7,86.875,1.604167,15.17325,2008,Jan,31
77,2008-02-01,4.6,29.1,21.6,88.458333,1.5875,17.222638,2008,Fev,1
78,2008-02-02,15.8,30.4,21.6,84.666667,1.445833,23.944131000000002,2008,Fev,2
79,2008-02-03,0.6,32.3,20.8,79.25,1.366667,20.831928,2008,Fev,3
80,2008-02-04,0.0,33.5,20.7,73.208333,1.0125,26.630808000000002,2008,Fev,4
81,2008-02-05,0.0,33.6,21.6,71.375,1.691667,21.148445,2008,Fev,5
82,2008-02-06,0.6,33.7,21.6,70.708333,1.45,20.949724,2008,Fev,6
83,2008-02-07,0.0,33.5,21.0,66.75,1.341667,16.604579,2008,Fev,7
84,2008-02-08,0.0,33.1,22.6,69.041667,1.5,23.268763,2008,Fev,8
85,2008-02-09,2.4,33.1,21.2,71.583333,1.9,28.296943,2008,Fev,9
